source_id,input_path,output_role,expected_observation_count,actual_observation_count,schema_match,sha256
SRC010,data/standardized/src010_polling_institute_2022_driver_observations.csv,primary_quantitative,18,18,true,a78aa630e63df5af907a7f763f74b3210f519e30f2d06014dc4d8451b28813d6
SRC013,data/standardized/src013_ideas_2025_driver_observations.csv,primary_quantitative,18,18,true,2e87264641ac0308906ee222b4b2d18f5616a9876f2053685771c8cfd43001b1
SRC017,data/standardized/src017_indef_pppi_2025_driver_context_observations.csv,contextual_survey,16,16,true,2cca89873a87fc02d33b9320797e1109ed09a16780c222d5e797abbf1987d776
SRC029,data/standardized/src029_ideas_2023_driver_observations.csv,primary_quantitative,14,14,true,153d5461ee48b9f297642cf6ee6ee1078e28cbdd2f1bd331a8feee497aa86f45
SRC030,data/standardized/src030_ideas_2020_driver_observations.csv,primary_quantitative,6,6,true,7c4ef37dd8dfb3965df9b8c2a9bddb883d63148bbed1d91e80db4825cfd9071d
